description,epochs,total time,train loss,MPJPE (Bodies at Rest),MPJPEAO (Bodies at Rest),SDPJPE (Bodies at Rest),PCP (Bodies at Rest),PCK (Bodies at Rest),MC (Bodies at Rest),MPJPE (SLP),MPJPEAO (SLP),SDPJPE (SLP),PCP (SLP),PCK (SLP),MC (SLP),MPJPE (Softline),MPJPEAO (Softline),SDPJPE (Softline),PCP (Softline),PCK (Softline),MC (Softline)
Ex I: SLP,34,1231.606079,0.00100267,24.52459526,19.09628868,21.00671959,0.35053876,0.335066289,0.516164364,7.571790218,5.421404839,9.708957672,0.846111119,0.862848938,0.720955229,13.89779758,10.83211708,14.35097599,0.705000043,0.630769193,0.730044356
Ex I: Bodies at Rest,30,4481.166992,0.000530185,8.096095085,4.419451714,16.66605377,0.832607746,0.844860733,0.771184676,23.78575516,18.64048576,18.88186455,0.320555538,0.309287757,0.515704534,16.25032997,10.91802883,18.35935402,0.644999981,0.556923091,0.747110661
Ex I: Combined,17,3797.758789,0.000541096,10.14095211,5.681704998,18.44970131,0.785420299,0.8091048,0.721031351,9.701457024,6.965987682,12.0456934,0.790185213,0.798689485,0.752350462,12.62312603,8.28656292,15.09152222,0.754999995,0.695384622,0.747173447
Ex II: O,17,3797.758789,0.000541096,10.14095211,5.681704998,18.44970131,0.785420299,0.8091048,0.721031351,9.701457024,6.965987682,12.0456934,0.790185213,0.798689485,0.752350462,12.62312603,8.28656292,15.09152222,0.754999995,0.695384622,0.747173447
Ex II: MM,17,4041.360596,0.000375208,9.890792847,5.425990105,18.3614006,0.793987155,0.815842092,0.71991886,8.462276459,6.230720043,10.36315155,0.825925887,0.835954428,0.769890366,11.51460648,8.075422287,11.41145039,0.795000017,0.710769296,0.748374972
Ex II: SM,19,4500.234375,0.000276867,9.645038605,5.307851315,17.89146614,0.798663795,0.819237411,0.749671553,7.182821274,5.162494183,9.24817276,0.866388857,0.880911589,0.823399222,12.21707439,8.628458023,13.0077734,0.74000001,0.704615474,0.745175519
Ex II: B,17,3871.284424,0.000274787,10.09958172,5.949399948,17.1634407,0.78278017,0.804522574,0.716987969,7.637568474,5.644710064,9.393751144,0.852129698,0.865811944,0.795820806,12.20647621,9.105521202,12.39397144,0.765000045,0.676923037,0.746259497
Ex II: HE,17,3751.035156,0.000379286,9.700123787,5.402775288,17.38672638,0.794956923,0.815729439,0.734657163,7.69237709,5.62041235,9.655856133,0.84629631,0.863190889,0.782740313,13.00442123,9.745573997,12.31374454,0.680000007,0.618461549,0.780083862
Ex II: SF,17,3800.329102,0.000480523,10.3784008,5.848455429,18.82677269,0.7826401,0.807572961,0.712759014,7.849583149,5.738306522,9.852490425,0.848148108,0.861025572,0.783172244,13.853652,9.640091896,14.45355701,0.680000007,0.630769193,0.778751908
Ex II: SM + O,17,3885.042969,0.000348097,9.642316818,5.502135277,17.43226051,0.796012998,0.816313088,0.735680948,7.193873405,5.266427994,8.97458744,0.864722252,0.875840425,0.812247102,11.67270756,8.300328255,10.57474232,0.730000079,0.667692304,0.754081216
Ex II: SM + MM,19,4328.604004,0.000296769,9.64077282,5.398907661,18.1382103,0.800387979,0.82053721,0.739427947,7.426713943,5.311200619,9.330646515,0.856296301,0.871965766,0.824199818,10.86488914,7.492934704,11.12878895,0.785000026,0.713846207,0.778843299
Ex II: SM + B,25,5683.146973,0.000242389,9.284647942,5.098296642,17.72340202,0.805668056,0.827115357,0.767505938,7.16882658,5.262919903,9.024344444,0.862592578,0.88039887,0.828097184,12.43951893,8.458247185,14.05510139,0.730000079,0.664615512,0.77641974
Ex II: SM + HE,19,4280.245605,0.000371942,10.3498373,5.930347443,18.36602402,0.781950355,0.804681778,0.719237371,7.467679024,5.368413925,9.322385788,0.853888869,0.868831933,0.780810039,12.58655262,9.002711296,12.92820263,0.745000064,0.670769274,0.737747587
Ex II: SM + SF,13,2927.522217,0.000667822,15.52485085,10.00932312,20.56897545,0.640301645,0.669880748,0.655385021,8.297999382,6.219990253,10.079175,0.834814847,0.832079768,0.663752941,13.03214836,10.75594044,13.6806221,0.75000006,0.673846245,0.877248159
Ex II: SM + B + O,21,4837.78418,0.000293434,9.802163124,5.411196232,19.00101089,0.798997879,0.822453618,0.752157539,7.217895508,5.232306957,9.287280083,0.863055587,0.879259229,0.822635186,10.66430855,7.656412601,10.77762127,0.785000026,0.744615495,0.806119247
Ex II: SM + B + MM,24,5517.833984,0.000202248,9.401108742,5.236893177,18.0848484,0.805721939,0.825318277,0.78141057,7.059990883,5.227940083,8.72160244,0.865463018,0.878803372,0.839946578,11.02689838,7.643523693,9.88773632,0.765000105,0.69230777,0.849504314
Ex II: SM + B + HE,23,5537.089844,0.000209433,9.094058037,5.098406315,17.53617668,0.813545287,0.829927087,0.793882948,6.989764214,5.160058022,8.580714226,0.870000005,0.88541317,0.865864379,11.48033333,7.495889664,13.41963196,0.765000045,0.729230821,0.836342873
Ex II: SM + B + SF,12,2748.423828,0.000641586,13.18965816,7.986803055,19.97822189,0.706810355,0.738023877,0.697094583,8.037903786,6.108900547,9.664984703,0.838333368,0.844444394,0.669868951,13.36105061,10.04931641,12.48980522,0.685000062,0.652307749,0.79336077
Ex II: SM + B + HE + O,16,3671.446777,0.000348652,10.59408283,6.246409416,17.95127869,0.773642242,0.79838872,0.721534546,7.489940166,5.550264835,9.064081192,0.852777779,0.865925848,0.759408611,11.21116066,9.172720909,9.452345848,0.765000045,0.680000007,0.787831311
Ex II: SM + B + HE + MM,18,4287.69043,0.000371763,9.982461929,5.714131832,17.773983,0.790969849,0.812168419,0.728958565,7.314556599,5.355122566,9.162099838,0.859907508,0.876638174,0.789316258,11.80542755,7.925311565,14.05642986,0.770000041,0.72307694,0.798302344
Ex II: SM + B + HE + SF,17,4011.932373,0.000291117,10.52043724,6.062083244,18.0837574,0.776767254,0.803275824,0.739323621,7.125231743,5.321238041,8.485572815,0.860462964,0.877264857,0.80648418,10.3482523,7.708638668,9.571207047,0.805000007,0.72615391,0.789518701
upconvs,14,3542.015625,0.000340001,11.53997326,7.141681671,18.1033287,0.752316833,0.772002637,0.748724702,7.5140481,5.504114628,9.31344223,0.855740726,0.869059861,0.77679226,12.19536972,8.934185982,12.51371098,0.755000055,0.686153948,0.777900805
Arms omitted,21,4803.663086,0.000134218,5.300942421,,10.7527256,0.925495744,0.918754816,0.847446749,5.191557407,,4.6362257,0.979814887,0.954567909,0.908039472,7.779177189,,6.095273972,0.960000038,0.840000033,0.93464988
Test,23,5537.089844,0.000209433,9.112290382,5.126830578,17.59537888,0.813265085,0.829277158,0.796208105,7.433626175,5.254748821,9.634069443,0.844612837,0.868790507,0.849115997,12.65571976,6.682492733,15.95654392,0.745000005,0.72615391,0.837289785
